Omega_m,H0,Chi_sq,Type
0.2848369265467729,70.23250621395306,1035.9646304995963,1.0
0.2821520620446,70.1510217388146,1035.8405798503827,1.0
0.2877427363645924,70.12595034541164,1035.7462737279186,1.0
0.2909298606153244,70.09925989941799,1035.9668098687457,2.0
0.29415141147522456,70.06514910355064,1036.3226847740714,2.0
0.286204340847745,70.14447842940216,1035.6972560791548,1.0
0.2935728838291185,70.01691527067153,1036.2285468851508,2.0
0.2900833719843287,70.02199481167355,1036.1245141322956,1.0
0.2815655195929295,70.18457402759665,1035.7629394690623,1.0
0.2804454464465338,70.21794147293575,1035.788675293937,2.0
0.280401780424713,70.3361571075713,1036.5085399177524,2.0
0.2725467907213671,70.3010784919515,1036.6782576915564,2.0
0.2726351525836283,70.47132644927837,1037.7021412248187,2.0
0.27236866456099257,70.17536146639378,1038.0687301309551,2.0
0.2724756821720921,70.38763433400779,1036.7996165086088,1.0
0.27399248278177757,70.51134621481215,1038.6123234138063,2.0
0.2810649011165225,70.3673395680068,1037.077222586891,1.0
0.2885927244330995,70.4072011467834,1040.73143940884,2.0
0.2863682533416186,70.15237624078503,1035.7093342217313,1.0
0.2885643897494935,70.10132493597679,1035.7865823433262,2.0
0.28766614042308347,70.05835577519348,1035.9684150829194,2.0
0.28863638260121655,70.00443349321579,1036.394650735934,2.0
0.28575712868432884,70.3493589543768,1037.940721882047,2.0
0.2877947746125291,70.24840733265086,1036.6645699153878,1.0
0.2863715879425284,70.25964295063676,1036.5015868629014,1.0
0.280221202020912,70.4330424049785,1038.2047894761004,2.0
0.2786524076560716,70.19383244278067,1036.0616182682454,1.0
0.27790491224433583,70.22335195552276,1036.0300476296245,1.0
0.27669915865292277,70.38579246214954,1036.7730370364748,2.0
